image_path,x1,y1,x2,y2,label
data/Laboro-Tomato/train/images/IMG_0984.jpg,234.81,178.24,352.45,284.43,tomato
data/Laboro-Tomato/train/images/IMG_0984.jpg,180.83,163.79,245.98,246.46,tomato
data/Laboro-Tomato/train/images/IMG_0984.jpg,221.53,240.71,285.16,299.56,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,373.84,207.67,402.63,238.54,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,350.55,221.60,381.08,248.85,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,285.34,238.62,367.04,332.63,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,183.96,224.89,289.86,339.94,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,142.91,153.12,233.94,256.82,tomato
data/Laboro-Tomato/train/images/IMG_0985.jpg,170.46,260.04,205.77,327.07,tomato
data/Laboro-Tomato/train/images/IMG_0989.jpg,182.02,239.50,304.78,366.77,tomato
data/Laboro-Tomato/train/images/IMG_0990.jpg,167.08,217.46,300.84,337.32,tomato
data/Laboro-Tomato/train/images/IMG_0994.jpg,216.11,215.05,388.33,356.51,tomato
data/Laboro-Tomato/train/images/IMG_0994.jpg,138.58,191.25,235.40,293.19,tomato
data/Laboro-Tomato/train/images/IMG_0994.jpg,169.04,289.56,261.04,377.31,tomato
data/Laboro-Tomato/train/images/IMG_0995.jpg,291.83,0.00,414.01,58.53,tomato
data/Laboro-Tomato/train/images/IMG_0995.jpg,252.61,158.64,386.25,286.53,tomato
data/Laboro-Tomato/train/images/IMG_0995.jpg,236.62,270.89,404.02,422.92,tomato
data/Laboro-Tomato/train/images/IMG_0995.jpg,101.17,163.20,270.09,345.38,tomato
data/Laboro-Tomato/train/images/IMG_0996.jpg,162.42,259.39,324.69,410.80,tomato
data/Laboro-Tomato/train/images/IMG_0997.jpg,232.56,228.26,322.61,317.51,tomato
data/Laboro-Tomato/train/images/IMG_0997.jpg,147.65,186.66,266.65,275.29,tomato
